method,step,elastic_loss,neo_loss
lbs,0,634.3578491210938,12974110.0
lbs,1,580.6376342773438,60526.140625
lbs,2,418.863525390625,60360.109375
lbs,3,914.5221557617188,41790.14453125
lbs,4,1804.0946044921875,14907.5966796875
lbs,5,2695.507568359375,2255.7060546875
lbs,6,2344.045654296875,2796.173583984375
lbs,7,2433.673583984375,3061.20556640625
lbs,8,2098.296630859375,5680.58837890625
lbs,9,2114.935546875,2809.173095703125
tblend_lbs,0,154.63763427734375,125368424.0
tblend_lbs,1,443.30059814453125,104972.7109375
tblend_lbs,2,884.6397705078125,88211.671875
tblend_lbs,3,557.75048828125,73148.7578125
tblend_lbs,4,470.4930725097656,111587.4609375
tblend_lbs,5,3876.788818359375,82029.171875
tblend_lbs,6,208804.453125,10086335.0
tblend_lbs,7,1517610.875,537735616.0
tblend_lbs,8,2362648.25,2124964864.0
tblend_lbs,9,1092095.75,256681216.0
dqlbs,0,2062626.25,47950588.0
dqlbs,1,857713.625,115712.5078125
dqlbs,2,1169635.875,110062.46875
dqlbs,3,709874.1875,105416.9453125
dqlbs,4,799067.875,103236.2890625
dqlbs,5,932064.5,100240.9921875
dqlbs,6,392744.59375,94354.3515625
dqlbs,7,296134.8125,91130.984375
dqlbs,8,267727.9375,91186.0859375
dqlbs,9,221010.78125,90159.71875
