method,step,elastic_loss,neo_loss
lbs,0,678.7327270507812,15064515.0
lbs,1,3133.83203125,81369.890625
lbs,2,5182.01123046875,41714.39453125
lbs,3,6038.02099609375,5099.89599609375
lbs,4,4991.51025390625,3954.204833984375
lbs,5,4275.04931640625,2592.737060546875
lbs,6,4397.8056640625,4609.95947265625
lbs,7,7831.24365234375,2091.437744140625
lbs,8,6615.00927734375,2986.962158203125
lbs,9,6976.5390625,2700.300537109375
lbs,10,4546.87548828125,2695.28173828125
lbs,11,5780.7431640625,1696.519287109375
lbs,12,3881.036865234375,1866.673828125
lbs,13,5138.396484375,2922.778076171875
lbs,14,4182.06591796875,4082.783935546875
lbs,15,3004.939697265625,4392.962890625
lbs,16,3510.653076171875,3515.1181640625
lbs,17,3120.817138671875,1625.087158203125
lbs,18,2979.545166015625,2170.23291015625
lbs,19,2179.392333984375,2214.973388671875
lbs,20,2624.768310546875,2195.66357421875
lbs,21,3361.43212890625,1471.17919921875
lbs,22,2567.866455078125,1233.615234375
lbs,23,2763.054443359375,2328.454833984375
lbs,24,2398.958740234375,2073.26171875
lbs,25,2610.87451171875,2032.4827880859375
lbs,26,2047.462890625,2235.716064453125
lbs,27,2573.330322265625,1521.6646728515625
lbs,28,4192.591796875,904.8187866210938
lbs,29,3446.21142578125,603.4488525390625
lbs,30,2998.015869140625,973.8231201171875
lbs,31,3902.98828125,2484.183349609375
lbs,32,2771.787109375,1764.7755126953125
lbs,33,2369.369384765625,494.56982421875
lbs,34,2819.53857421875,2390.687255859375
lbs,35,2572.83056640625,1503.78662109375
lbs,36,2553.342041015625,2276.47705078125
lbs,37,2971.227294921875,4951.02001953125
lbs,38,2213.396240234375,639.661376953125
lbs,39,2438.9052734375,2140.91943359375
lbs,40,2988.674072265625,1034.644775390625
lbs,41,2021.5166015625,1644.2271728515625
lbs,42,2956.535888671875,4004.1572265625
lbs,43,2920.5927734375,5727.85205078125
lbs,44,2354.612060546875,1473.7352294921875
lbs,45,3303.243896484375,2063.06787109375
lbs,46,2319.92578125,840.9448852539062
lbs,47,2168.75146484375,1350.7642822265625
lbs,48,2984.774658203125,2178.00146484375
lbs,49,2871.80322265625,781.6370239257812
dual_quat,0,4993788.5,5334059.5
dual_quat,1,4082671.75,315574.75
dual_quat,2,3107875.0,213820.71875
dual_quat,3,3162120.0,258413.96875
dual_quat,4,2778526.75,200510.203125
dual_quat,5,5252832.5,184082.984375
dual_quat,6,2746179.0,173367.265625
dual_quat,7,4811589.5,177115.953125
dual_quat,8,3188585.25,173076.3125
dual_quat,9,3559258.0,170241.390625
dual_quat,10,1689677.0,170762.0625
dual_quat,11,4447429.5,168509.671875
dual_quat,12,3475165.25,165610.390625
dual_quat,13,3843089.75,165734.3125
dual_quat,14,3753192.5,164768.9375
dual_quat,15,1355716.0,167500.96875
dual_quat,16,2255461.75,165818.765625
dual_quat,17,4047575.75,164281.578125
dual_quat,18,3958792.5,169626.53125
dual_quat,19,2916729.75,168085.203125
dual_quat,20,1830969.875,167513.4375
dual_quat,21,1244337.625,163228.453125
dual_quat,22,2130695.75,164374.75
dual_quat,23,1939581.25,163724.171875
dual_quat,24,2483036.75,164880.5625
dual_quat,25,2441604.5,163906.515625
dual_quat,26,2214449.75,162373.125
dual_quat,27,2075911.625,162784.0
dual_quat,28,1284489.625,162863.875
dual_quat,29,2239995.25,163609.734375
dual_quat,30,1979539.0,162400.78125
dual_quat,31,1612348.25,163455.890625
dual_quat,32,1482512.375,165091.9375
dual_quat,33,1639101.125,161287.3125
dual_quat,34,1482317.625,162180.703125
dual_quat,35,1262469.125,162403.25
dual_quat,36,1007830.1875,160484.671875
dual_quat,37,1245448.875,161190.5625
dual_quat,38,975513.9375,160801.84375
dual_quat,39,1042172.4375,160465.609375
dual_quat,40,1058902.375,160985.625
dual_quat,41,1129865.375,160835.265625
dual_quat,42,307703.15625,160394.25
dual_quat,43,627119.125,160339.03125
dual_quat,44,507210.3125,160416.75
dual_quat,45,279369.71875,160117.25
dual_quat,46,297996.6875,160154.71875
dual_quat,47,187077.796875,160070.390625
dual_quat,48,65967.609375,160004.5
dual_quat,49,56831.87109375,160000.625
