method,step,elastic_loss,neo_loss
dual_quat,0,6799653.5,105906640.0
dual_quat,1,8604111.0,248956.34375
dual_quat,2,2661530.25,186669.953125
dual_quat,3,4652010.5,219693.21875
dual_quat,4,5361870.0,171710.984375
dual_quat,5,2546668.5,225301.6875
dual_quat,6,1271708.25,196443.625
dual_quat,7,3703229.75,179837.8125
dual_quat,8,2432535.75,171912.96875
dual_quat,9,2271579.25,167251.3125
dual_quat,10,2541632.5,169171.078125
dual_quat,11,2296569.5,169280.75
dual_quat,12,4009528.0,169312.140625
dual_quat,13,2458233.75,169746.984375
dual_quat,14,3407049.75,178432.90625
dual_quat,15,4026649.75,164712.90625
dual_quat,16,2227737.75,170671.0625
dual_quat,17,2444747.0,167256.921875
dual_quat,18,859766.4375,165953.515625
dual_quat,19,1329365.75,163707.8125
dual_quat,20,1742312.625,164223.46875
dual_quat,21,2893610.5,164698.9375
dual_quat,22,2417277.0,164475.4375
dual_quat,23,1114651.375,164785.046875
dual_quat,24,2507983.5,163113.1875
dual_quat,25,2638620.75,162005.75
dual_quat,26,1316466.5,161482.921875
dual_quat,27,1648309.0,163702.5
dual_quat,28,1248626.75,175865.65625
dual_quat,29,1115333.75,162447.75
dual_quat,30,1719216.875,164456.59375
dual_quat,31,1728195.25,160592.84375
dual_quat,32,1450448.0,161693.109375
dual_quat,33,1155091.875,161044.078125
dual_quat,34,1523586.75,162888.90625
dual_quat,35,1204685.375,160983.78125
dual_quat,36,1341695.875,164182.765625
dual_quat,37,614251.1875,160709.59375
dual_quat,38,1231068.75,161779.40625
dual_quat,39,510634.3125,160909.921875
dual_quat,40,826786.5625,160423.625
dual_quat,41,574784.875,162033.796875
dual_quat,42,468594.59375,160082.46875
dual_quat,43,668299.125,160759.578125
dual_quat,44,618686.0625,160448.6875
dual_quat,45,550506.125,160181.46875
dual_quat,46,312735.46875,160044.015625
dual_quat,47,183215.046875,160141.546875
dual_quat,48,151127.390625,160012.09375
dual_quat,49,59775.52734375,160000.53125
