method,step,elastic_loss,neo_loss
lbs,0,1492.180419921875,46186916.0
lbs,1,129.13262939453125,80011.8984375
lbs,2,1880.5257568359375,70518.5703125
lbs,3,8205.2333984375,50664.16796875
lbs,4,6040.47998046875,40370.1484375
lbs,5,15983.6982421875,7741.76953125
lbs,6,19246.12109375,5626.54443359375
lbs,7,17284.9921875,4152.45458984375
lbs,8,14800.9951171875,4437.64208984375
lbs,9,13802.1640625,3435.833984375
tblend_lbs,0,13.9443941116333,28781234.0
tblend_lbs,1,235.34890747070312,90947.125
tblend_lbs,2,667.6338500976562,82781.6171875
tblend_lbs,3,1431.84033203125,80149.8125
tblend_lbs,4,830.1517944335938,80101.7578125
tblend_lbs,5,314.22711181640625,91661.296875
tblend_lbs,6,5016.67626953125,80116.3125
tblend_lbs,7,658.0156860351562,80139.46875
tblend_lbs,8,230.5323944091797,85582.953125
tblend_lbs,9,72.21236419677734,89804.2265625
dqlbs,0,6649825.5,124256920.0
dqlbs,1,2259281.75,220026.09375
dqlbs,2,2313854.75,147204.34375
dqlbs,3,1675683.0,195337.015625
dqlbs,4,3990906.5,328467.0
dqlbs,5,1817535.625,119795.9296875
dqlbs,6,1922115.375,102406.7265625
dqlbs,7,1033978.5,118533.25
dqlbs,8,581256.8125,95437.46875
dqlbs,9,245167.796875,91556.9453125
