method,step,elastic_loss,neo_loss
lbs,0,343.32513427734375,8351106.5
lbs,1,4742.82177734375,43508.97265625
lbs,2,6870.2548828125,43203.37109375
lbs,3,9040.7529296875,4932.1494140625
lbs,4,6127.28076171875,41309.0
lbs,5,7552.7353515625,3815.281982421875
lbs,6,5282.27685546875,2006.5491943359375
lbs,7,6588.07568359375,2164.368408203125
lbs,8,4883.3056640625,3949.730712890625
lbs,9,8245.646484375,2814.242919921875
tblend_lbs,0,87.8143310546875,52235620.0
tblend_lbs,1,1115.1558837890625,344336.9375
tblend_lbs,2,137.2833709716797,158401.78125
tblend_lbs,3,587.12939453125,614670.875
tblend_lbs,4,7088.79150390625,149329.359375
tblend_lbs,5,1163.53662109375,355865.9375
tblend_lbs,6,331.7055358886719,148672.453125
tblend_lbs,7,573.055908203125,154178.921875
tblend_lbs,8,2442.814697265625,139677.28125
tblend_lbs,9,2109.454833984375,120334.03125
dqlbs,0,5891576.0,117310800.0
dqlbs,1,3916198.75,209377.28125
dqlbs,2,3577010.5,278870.40625
dqlbs,3,2993931.5,209565.53125
dqlbs,4,1378249.875,189037.953125
dqlbs,5,2502267.0,190540.609375
dqlbs,6,1546285.75,164625.25
dqlbs,7,1342966.375,160475.078125
dqlbs,8,167607.671875,162326.203125
dqlbs,9,438178.21875,160541.984375
