method,step,elastic_loss,neo_loss
lbs,0,4987.28271484375,196016704.0
lbs,1,477.172119140625,120301.5234375
lbs,2,5874.6416015625,81024.3203125
lbs,3,8204.4697265625,81219.6875
lbs,4,8263.1162109375,41745.8515625
lbs,5,14775.5810546875,43529.89453125
lbs,6,12922.076171875,4272.0966796875
lbs,7,15389.923828125,1895.1009521484375
lbs,8,15508.923828125,7583.13818359375
lbs,9,9758.111328125,5380.875
tblend_lbs,0,156.28379821777344,86866136.0
tblend_lbs,1,2525.997802734375,120253.8125
tblend_lbs,2,982.8380737304688,161162.140625
tblend_lbs,3,3337.251708984375,158844.921875
tblend_lbs,4,9382.8515625,120793.4921875
tblend_lbs,5,26572.140625,10937780.0
tblend_lbs,6,7175.3837890625,152055.5625
tblend_lbs,7,3456.322021484375,137412.6875
tblend_lbs,8,11837.73046875,121808.03125
tblend_lbs,9,56247.30859375,1188329.5
dqlbs,0,8869695.0,76885952.0
dqlbs,1,16584773.0,355116.0625
dqlbs,2,7835496.0,180560.28125
dqlbs,3,4413195.5,295053.1875
dqlbs,4,6825745.0,184885.1875
dqlbs,5,7277263.5,185086.734375
dqlbs,6,5158595.5,179187.5625
dqlbs,7,2264056.5,169482.59375
dqlbs,8,1663942.875,167310.375
dqlbs,9,1137245.875,161882.453125
