method,step,elastic_loss,neo_loss
lbs,0,6563.09912109375,156902752.0
lbs,1,595.6122436523438,119867.4609375
lbs,2,6923.9189453125,80720.3984375
lbs,3,11547.505859375,42102.875
lbs,4,12659.8935546875,41900.76953125
lbs,5,31471.498046875,42166.28125
lbs,6,21727.4140625,42666.671875
lbs,7,14764.8193359375,2362.33251953125
lbs,8,14713.6279296875,2187.512451171875
lbs,9,13838.1455078125,2075.265869140625
tblend_lbs,0,98.32867431640625,11630534.0
tblend_lbs,1,5903.10791015625,209731.15625
tblend_lbs,2,934.2523803710938,146841.84375
tblend_lbs,3,1377.7177734375,133043.046875
tblend_lbs,4,24047.521484375,146862.921875
tblend_lbs,5,5689.47998046875,122167.6953125
tblend_lbs,6,2383.548583984375,267576.09375
tblend_lbs,7,1075.2747802734375,349619.75
tblend_lbs,8,3714.576904296875,126116.125
tblend_lbs,9,5412.9501953125,120947.171875
dqlbs,0,12108877.0,52963032.0
dqlbs,1,8703264.0,582286.75
dqlbs,2,8441531.0,238185.703125
dqlbs,3,8620322.0,369284.28125
dqlbs,4,7196991.5,206554.90625
dqlbs,5,6799058.5,203043.90625
dqlbs,6,8235967.5,194888.078125
dqlbs,7,3900916.5,164755.0
dqlbs,8,1982679.0,174180.5625
dqlbs,9,1291613.0,162316.734375
