method,step,elastic_loss,neo_loss
lbs,0,1477.543212890625,57240860.0
lbs,1,291.78857421875,115925.890625
lbs,2,7151.85400390625,42032.55078125
lbs,3,4112.185546875,41440.78125
lbs,4,5378.9384765625,41829.09765625
lbs,5,7890.71826171875,6940.22900390625
lbs,6,6105.91748046875,3667.146484375
lbs,7,6384.73193359375,4092.234619140625
lbs,8,4722.83154296875,6423.93017578125
lbs,9,4306.375,1788.1895751953125
tblend_lbs,0,51.09603500366211,50945088.0
tblend_lbs,1,445.3207092285156,173071.75
tblend_lbs,2,424.390625,160154.015625
tblend_lbs,3,268.3597106933594,179936.40625
tblend_lbs,4,16133.4873046875,120081.1171875
tblend_lbs,5,1202.3714599609375,122909.765625
tblend_lbs,6,2908.991943359375,123288.171875
tblend_lbs,7,949.63525390625,121881.3984375
tblend_lbs,8,3595.150146484375,207349.296875
tblend_lbs,9,1055.6292724609375,125094.234375
dqlbs,0,4878847.5,211181824.0
dqlbs,1,3293064.0,286562.96875
dqlbs,2,3058117.25,169668.90625
dqlbs,3,2694619.0,319252.03125
dqlbs,4,3820624.0,170621.40625
dqlbs,5,1396317.125,165493.40625
dqlbs,6,1909710.375,173011.25
dqlbs,7,1223190.75,164892.265625
dqlbs,8,871912.1875,161098.71875
dqlbs,9,178834.484375,160134.75
